position,title,link,displayed_link,snippet,thumbnail,duration,like_numbers,view_count,comment_count,subscribers_number,displayed_date
20,"ABC World News Tonight with David Muir Full Broadcast - Dec 16, 2024",https://www.youtube.com/watch?v=c4CeJyrM-GE,,,"{'static': 'https://i.ytimg.com/vi/c4CeJyrM-GE/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLB5qp1CYNX7fkYQrsfwcGmrSeUVDQ', 'rich': 'https://i.ytimg.com/vi/c4CeJyrM-GE/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDBjPss6cGhd_9Ntwp1Itb9aJ-V1A'}",19.58,5334,509973,835,18000000,2024-12-17T03:00:12Z
21,"ABC World News Tonight with David Muir Full Broadcast - Dec. 15, 2024",https://www.youtube.com/watch?v=5iimanltxFs,,,"{'static': 'https://i.ytimg.com/vi/5iimanltxFs/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBa_0Qe3Huo73Xmy6bp9rvNQ5boqw', 'rich': 'https://i.ytimg.com/vi/5iimanltxFs/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLASkA8CYpM7mkNhrprX0GvjsoUzFg'}",19.93,4872,466192,731,18000000,2024-12-16T03:00:06Z
22,Australians living in Vanuatu recount 'terrifying' moment of earthquake | ABC News,https://www.youtube.com/watch?v=IDymrMS7THY,,,"{'static': 'https://i.ytimg.com/vi/IDymrMS7THY/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAiKy1V6A-3VNgDAUGi5G9wNvkrKA', 'rich': 'https://i.ytimg.com/vi/IDymrMS7THY/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDyTCALpmWHsloFv1PFej-IbpERGg'}",3.87,41,3034,0,2180000,2024-12-17T21:08:00Z
23,Madison school shooter being female is 'highly unusual',https://www.youtube.com/watch?v=gOoFsHtr9yo,,,"{'static': 'https://i.ytimg.com/vi/gOoFsHtr9yo/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBQ3K7VY0dnG1dWLI1tzK5lx-v_Xg', 'rich': 'https://i.ytimg.com/vi/gOoFsHtr9yo/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLD-lxajkhDj_fr9ogU-EVyNscr5Hw'}",1.77,89,13907,130,18000000,2024-12-17T15:45:03Z
25,Why Sri Lanka's Aruna Dissanayake chose India for first overseas trip as president | The World,https://www.youtube.com/watch?v=gxnEysGfsgU,,,"{'static': 'https://i.ytimg.com/vi/gxnEysGfsgU/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAUryNxC_K_15Ys49B-ILCvHRtXnQ', 'rich': 'https://i.ytimg.com/vi/gxnEysGfsgU/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLBtUlRM--eF2-2bUqhyh-Fe30lCEA'}",6.65,109,7976,0,2180000,2024-12-17T11:33:16Z
4,"ABC World News Tonight with David Muir Full Broadcast - Dec. 17, 2024",https://www.youtube.com/watch?v=VjH-dIg7fQQ,,,"{'static': 'https://i.ytimg.com/vi/VjH-dIg7fQQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAScrquTwpXuS8anTXpQB_KrD4lMg', 'rich': 'https://i.ytimg.com/vi/VjH-dIg7fQQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD0rf2AZvv2ZjYOR3JaI3mjos6J6g'}",19.7,3616,244037,511,18000000,2024-12-18T03:00:25Z
5,ABC News Live Prime: Luigi Mangione indicted; WI shooting investigation; Genetically-modified organs,https://www.youtube.com/watch?v=D_7x2unobkw,,,"{'static': 'https://i.ytimg.com/vi/D_7x2unobkw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCdDq6pUkX3f2FnI8oENJgJr68Wg', 'rich': 'https://i.ytimg.com/vi/D_7x2unobkw/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCztIvAEUHXheIWHb4TVfs3I9RT_g'}",87.37,193,15578,9,18000000,2024-12-18T01:30:30Z
6,Police search for motive in deadly Abundant Life Christian School shooting,https://www.youtube.com/watch?v=c72_TmGSMaU,,,"{'static': 'https://i.ytimg.com/vi/c72_TmGSMaU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTZo09HiKuES69ZbtckxABkquDiw', 'rich': 'https://i.ytimg.com/vi/c72_TmGSMaU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWOl7pd1pi1uGKfaw01fsUo_3xRg'}",2.28,341,39808,258,18000000,2024-12-18T00:46:39Z
7,"LIVE: ABC News Live - Tuesday, December 17 | ABC News",https://www.youtube.com/watch?v=iZnmKAOb9wI,,,"{'static': 'https://i.ytimg.com/vi/iZnmKAOb9wI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCb7Ye28AKZXSWx1I6sE_RUPszlLg', 'rich': 'https://i.ytimg.com/vi/iZnmKAOb9wI/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDCmPfL7zcpPwEj0P23HzMWL2zExA'}",714.98,477,84826,0,18000000,2024-12-18T04:32:07Z
8,LIVE: Latest News Headlines and Events l ABC News Live,https://www.youtube.com/watch?v=-mvUkiILTqI,,,"{'static': 'https://i.ytimg.com/vi/-mvUkiILTqI/hq720.jpg?v=664b6e7d&sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt-S_Id-RmO2DekfTSoe1k1e-DNA', 'rich': 'https://i.ytimg.com/vi/-mvUkiILTqI/hq720.jpg?v=664b6e7d&sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAiRFg-WWQxvz7Q1PnC0lx5LggjCA'}",0.0,34020,16309646,0,18000000,2024-05-20T15:08:33Z
